Antioxidant;Antioxidans
Benzodiazepine;Benzodiazepine
5-HT3 antagonist;5-HT3-Antagonist
Anabolic steroid;Anabole Steroide
Analgesic;Analgetische
Anti-diabetic medication;Antidiabetikum
Antiarrhythmic agent;Antiarrhythmikum
Antihypertensive drug;Antihypertensivum
Antiviral drug;Virostatikum
Atypical antipsychotic;Atypisches Neuroleptikum
Cephalosporin;Cephalosporine
Chemotherapy;Chemotherapie
Compliance (medicine);Compliance (Medizin)
Materia medica;Materia medica
Monoclonal antibody;Monoklonaler Antikörper
Muscle relaxant;Muskelrelaxans
Non-steroidal anti-inflammatory drug;Nichtsteroidales Antirheumatikum
Nootropic;Nootropikum
Pharmaceutical industry;Pharmaunternehmen
Pharmacy;Apotheke
Placebo;Placebo
Psychiatry;Psychiatrie
Psychoactive drug;Psychotrope Substanz
Selective serotonin reuptake inhibitor;Serotonin-Wiederaufnahmehemmer
Simcyp;Simcyp
Statin;Statin
Tetracycline antibiotics;Tetracycline
Β-Lactam antibiotic;Β-Lactam-Antibiotika
ACE inhibitor;ACE-Hemmer
Adverse effect;Nebenwirkung
Angiotensin II receptor antagonist;AT1-Antagonist
Antibiotics;Antibiotika
Antimalarial medication;Antimalaria-Medikamente
Antipsychotic;Neuroleptikum
Antiseptic;Antiseptikum
Beta blocker;Betablocker
Cough medicine;Antitussivum
Drug interaction;Arzneimittelwechselwirkung
Drugs for acid-related disorders;Drogen für Säure-Erkrankungen
Equianalgesic;Equianalgesic
H1 antagonist;H1-Antagonisten
H2 antagonist;H₂-Rezeptor-Antagonisten
History of malaria;Geschichte der malaria
Hypnotic;Schlafmittel
Immunosuppressive drug;Immunsuppressivum
Intoxicative inhalant;Schnüffelstoff
Mitotic inhibitor;Mitose-Hemmer
Mood stabilizer;Phasenprophylaktikum
Multiple drug resistance;Multiresistenz
NK1 receptor antagonist;NK1-rezeptor-antagonist
Nebulizer;Vernebler
Neurotransmitter;Neurotransmitter
Nitrovasodilator;Nitrovasodilator
Nonbenzodiazepine;Nonbenzodiazepine
Off-label use;Off-Label-Use
Penicillin;Penicillin
Pharmacist;Apotheker
Pharmacokinetics;Pharmakokinetik
Pharmacology;Pharmakologie
Psychiatric medication;Psychopharmakon
Renin inhibitor;Renininhibitor
Stimulant;Stimulans
Sulfonamide (medicine);Sulfonamide
ADME;ADME
Acetylcholinesterase inhibitor;Acetylcholinesterase-Hemmer
Adverse drug reaction;Nebenwirkung
Alkylating antineoplastic agent;Alkylanzien
Alpha-1 blocker;Alphablocker
Alpha blocker;Alphablocker
Aminoglycoside;Aminoglykoside
Angiogenesis inhibitor;Antiangiogenese
Anti-inflammatory;Antiphlogistikum
Antianginal;Antianginal
Anticholinergic;Anticholinergikum
Anticoagulant;Antikoagulation
Anticonvulsant;Antikonvulsivum
Antidote;Antidot
Antiemetic;Antiemetikum
Antifungal medication;Antimykotikum
Antimicrobial;Antimikrobielle Substanz
Antiplatelet drug;Thrombozytenaggregationshemmer
Antipyretic;Antipyretikum
Astringent;Adstringens
Beta2-adrenergic agonist;Beta-2-Sympathomimetika
Biologic medical product;Biologische Medizinprodukt
Bronchodilator;Bronchospasmolytikum
Cardiac glycoside;Herzglykoside
Cosmetic pharmacology;Kosmetik Pharmakologie
Deliriant;Delirantium
Diuretic;Diuretikum
Dopamine agonist;Dopaminagonist
Drug;Droge
Drug allergy;Arzneimittelallergie
Euphoriant;Euphorisierende
Formulary (pharmacy);Formelsammlung (Apotheke)
General anaesthetic;Vollnarkose
Glycoprotein IIb/IIIa inhibitors;Glykoprotein-2b/3a-Hemmer
Histamine antagonist;Antihistaminikum
Injection (medicine);Injektion (Medizin)
Laxative;Abführmittel
Lincosamides;Lincosamide
Loading dose;Laden Dosis
Loop diuretic;Schleifendiuretika
Monoamine oxidase inhibitor;Monoaminooxidase-Hemmer
Muscarinic agonist;Muskarin-Agonisten
Orphan drug;Orphan-Arzneimittel
PDE5 inhibitor;PDE-5-Hemmer
Pharmaceutical drug;Arzneimittel
Pharmacodynamics;Pharmakodynamik
Polypharmacy;Polypragmasie
Prescription drug;Verschreibungspflicht
Protease inhibitor (pharmacology);Proteaseinhibitor
Receptor (biochemistry);Rezeptor (Biochemie)
Rectal (medicine);Rektale (Medizin)
Sedative;Tranquillanzien
Side effect;Nebenwirkung
Sympathomimetic drug;Sympathomimetikum
Thiazide;Thiaziddiuretika
Tocolytic;Tokolytikum
Allosteric serotonin reuptake inhibitor;Allosterische serotonin-Wiederaufnahme-Hemmer
Alpha-2 blocker;Alpha-2-blocker
Antiparasitic;Antiparasitäre
Antispasmodic;Spasmolytikum
Detoxication;Entgiftung
Dopamine antagonist;Dopamin-Antagonisten
Drug intolerance;Intoleranz (Medizin)
Endothelin receptor antagonist;Endothelin-rezeptor-antagonist
Parasympathomimetic drug;Parasympathomimetikum
Protein kinase inhibitor;Proteinkinaseinhibitor
Topical medication;Lokaltherapie
Β-Lactamase inhibitor;Β-Lactamase-Inhibitoren
Bupropion;Bupropion
Linezolid;Linezolid
Psilocybin;Psilocybin
Alprazolam;Alprazolam
Amphetamine;Amphetamin
Aspirin;Aspirin
Doxorubicin;Doxorubicin
Frances Oldham Kelsey;Frances Oldham Kelsey
History of aspirin;Geschichte von aspirin
Metformin;Metformin
Methamphetamine;Methamphetamin
Midazolam;Midazolam
Receptor antagonist;Antagonist (Pharmakologie)
Serpin;Serpine
Warfarin;Warfarin
Acetazolamide;Acetazolamid
Acetylcholine;Acetylcholin
Aciclovir;Aciclovir
Adverse effects of fluoroquinolones;Nebenwirkungen der Fluorchinolone
Antidepressant;Antidepressivum
Apomorphine;Apomorphin
Aprepitant;Aprepitant
Aprotinin;Aprotinin
Aripiprazole;Aripiprazol
Atomoxetine;Atomoxetin
Atorvastatin;Atorvastatin
Atropine;Atropin
Azathioprine;Azathioprin
Azithromycin;Azithromycin
Barbiturate;Barbiturate
Berberine;Berberin
Bortezomib;Bortezomib
Buprenorphine;Buprenorphin
Buspirone;Buspiron
Caffeine;Coffein
Calcium channel blocker;Calciumantagonist
Cannabis (drug);Cannabis als Rauschmittel
Captopril;Captopril
Carboplatin;Carboplatin
Chloramphenicol;Chloramphenicol
Chlordiazepoxide;Chlordiazepoxid
Chlorpromazine;Chlorpromazin
Cimetidine;Cimetidin
Ciprofloxacin;Ciprofloxacin
Citalopram;Citalopram
Clomipramine;Clomipramin
Clonazepam;Clonazepam
Clonidine;Clonidin
Clopidogrel;Clopidogrel
Clozapine;Clozapin
Cocaine (data page);Kokain (Daten Seite)
Codeine;Codein
Colchicine;Colchicin
Combined oral contraceptive pill;Antibabypille
Contraceptive patch;Hormonpflaster
Cortisol;Cortisol
Dextromethorphan;Dextromethorphan
Diazepam;Diazepam
Diclofenac;Diclofenac
Digoxin;Digoxin
Dihydrocodeine;Dihydrocodein
Diphenhydramine;Diphenhydramin
Discovery and development of non-nucleoside reverse-transcriptase inhibitors;Nichtnukleosidische Reverse-Transkriptase-Inhibitoren
Discovery and development of statins;Die Entdeckung und Entwicklung von Statinen
Docetaxel;Docetaxel
Dopamine;Dopamin
Doxycycline;Doxycyclin
Drotrecogin alfa;Drotrecogin
Drug design;Wirkstoffdesign
Duloxetine;Duloxetin
Eflornithine;Eflornithin
Ephedrine;Ephedrin
Epinephrine;Adrenalin
Erlotinib;Erlotinib
Erythromycin;Erythromycin
Escitalopram;Escitalopram
Esomeprazole;Esomeprazol
Estradiol;Estradiol
Eszopiclone;Eszopiclon
Fentanyl;Fentanyl
Flucloxacillin;Flucloxacillin
Fluoxetine;Fluoxetin
Food and Drug Administration;Food and Drug Administration
Gamma-Hydroxybutyric acid;4-Hydroxybutansäure
Glucocorticoid;Glucocorticoide
Haloperidol;Haloperidol
Hartmann F. Stähelin;Hartmann Stähelin
Hormone;Hormon
Hydroxyzine;Hydroxyzin
Ibogaine;Ibogain
Imatinib;Imatinib
Imipramine;Imipramin
Indometacin;Indometacin
Insulin analog;Insulinanalogon
Isotretinoin;Isotretinoin
Isotretinoin/Archive 1;Isotretinoin/Archiv 1
Johnson & Johnson;Johnson & Johnson
Ketamine;Ketamin
Ketoconazole;Ketoconazol
L-DOPA;Levodopa
Lamotrigine;Lamotrigin
Laudanum;Opiumtinktur
Levofloxacin;Levofloxacin
Lidocaine;Lidocain
Lithium (medication);Lithiumtherapie
Lorazepam;Lorazepam
Losartan;Losartan
Lovastatin;Lovastatin
Lysergic acid diethylamide;Lysergsäurediethylamid
MDMA;MDMA
Management of HIV/AIDS;Hochaktive antiretrovirale Therapie
Melatonin;Melatonin
Menthol;Menthol
Mescaline;Mescalin
Methadone;Methadon
Methcathinone;Methcathinon
Methotrexate;Methotrexat
Methylphenidate;Methylphenidat
Mifepristone;Mifepriston
Mitomycin;Mitomycin
Modafinil;Modafinil
Morphine;Morphin
Moxifloxacin;Moxifloxacin
Mycophenolic acid;Mycophenolsäure
Nadolol;Nadolol
Naloxone;Naloxon
Natalizumab;Natalizumab
National Agency for Food and Drug Administration and Control;Nationale Agentur für die Nahrungsmittel-und Droge-Leitung und-Steuerung
National pharmaceuticals policy;Nationalen Arzneimittel-Richtlinie
Neuropharmacology;Neuropharmakologie
Nevirapine;Nevirapin
Nexplanon;Etonogestrel-Implantat
Nitrazepam;Nitrazepam
Nitrofurantoin;Nitrofurantoin
Nitrous oxide;Distickstoffmonoxid
Nonoxynol-9;Nonoxinol 9
Norfloxacin;Norfloxacin
Norplant;Norplant
Ofloxacin;Ofloxacin
Olanzapine;Olanzapin
Omeprazole;Omeprazol
Opioid;Opioide
Opium;Opium
Oseltamivir;Oseltamivir
Oxycodone;Oxycodon
Oxytocin;Oxytocin
Paclitaxel;Paclitaxel
Pancuronium bromide;Pancuronium
Paracetamol;Paracetamol
Paroxetine;Paroxetin
Pethidine;Pethidin
Pfizer;Pfizer
Phenobarbital;Phenobarbital
Poppers;Poppers
Potassium iodide;Kaliumiodid
Praziquantel;Praziquantel
Primidone;Primidon
Progesterone;Progesteron
Propranolol;Propranolol
Proton-pump inhibitor;Protonenpumpenhemmer
Pseudoephedrine;Pseudoephedrin
Pyrazinamide;Pyrazinamid
Quinine;Chinin
Quinolone;Chinolone
Reserpine;Reserpin
Resveratrol;Resveratrol
Retinoid;Retinoide
Ribavirin;Ribavirin
Ricin;Rizin
Rivaroxaban;Rivaroxaban
Rivastigmine;Rivastigmin
Rofecoxib;Rofecoxib
Rosuvastatin;Rosuvastatin
Route of administration;Applikationsform
Salbutamol;Salbutamol
Selegiline;Selegilin
Serotonin;Serotonin
Sertraline;Sertralin
Sibutramine;Sibutramin
Sildenafil;Sildenafil
Simvastatin;Simvastatin
Sirolimus;Sirolimus
Sodium thiopental;Thiopental
Tamoxifen;Tamoxifen
